                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2742,                  4.251,                 1.4406,                0.05244,                0.99444,                0.50946,                0.34468,                0.66942,                 3.4509,                0.96054,             0.00010766,             0.00010766,             0.00010766
                      2,                0.81767,                 2.1884,                 1.0637,                0.99763,                0.33333,                0.84546,                0.63062,                0.75391,                 2.3985,                0.97158,             0.00022191,             0.00022191,             0.00022191
                      3,                0.74343,                  1.394,                 1.0205,                0.73745,                0.67865,                0.83412,                 0.5954,                0.91473,                 1.2485,                 1.0317,             0.00033501,             0.00033501,             0.00033501
                      4,                 0.7152,                 1.1885,                 1.0002,                0.89029,                0.99444,                0.98929,                0.76882,                0.79755,                0.98012,                 1.0037,             0.00044697,             0.00044697,             0.00044697
                      5,                0.63657,                 1.0767,                0.95115,                0.99266,                0.80041,                0.99174,                0.81075,                0.64797,                 1.4242,                0.93184,             0.00055779,             0.00055779,             0.00055779
                      6,                0.59855,                 1.0183,                0.93684,                0.86678,                0.99444,                0.98526,                0.80794,                0.71094,                 1.2167,                0.98981,             0.00066747,             0.00066747,             0.00066747
                      7,                0.58291,                0.93677,                0.92531,                0.82521,                0.99444,                0.98596,                0.85268,                0.49126,                 1.0336,                0.88116,             0.00074616,             0.00074616,             0.00074616
                      8,                 0.5932,                 0.9918,                0.93785,                0.85895,                0.98261,                0.99175,                0.81355,                0.66314,                0.84024,                0.97423,             0.00074235,             0.00074235,             0.00074235
                      9,                0.57189,                 0.8876,                0.92664,                0.89789,                0.98567,                0.99174,                0.83193,                0.59066,                0.80923,                0.92149,             0.00073855,             0.00073855,             0.00073855
                     10,                0.55373,                0.88253,                0.92873,                 0.9911,                0.99444,                0.99172,                0.83917,                0.58451,                0.76032,                0.91462,             0.00073474,             0.00073474,             0.00073474
                     11,                0.53304,                0.83835,                0.91394,                0.86231,                0.98952,                0.99173,                0.86162,                0.55466,                0.76799,                0.91509,             0.00073093,             0.00073093,             0.00073093
                     12,                0.52598,                0.77983,                0.91735,                0.92222,                0.98658,                0.99198,                0.85124,                0.50869,                0.71753,                0.87607,             0.00072713,             0.00072713,             0.00072713
                     13,                0.54273,                0.79638,                0.92142,                0.99564,                0.99444,                0.99181,                0.84982,                0.52601,                 0.6515,                0.87898,             0.00072332,             0.00072332,             0.00072332
                     14,                0.51644,                0.76662,                0.91596,                0.97598,                0.99444,                0.99166,                0.85327,                0.50037,                0.62575,                0.88181,             0.00071951,             0.00071951,             0.00071951
